Post-2019 Westminster Parliamentary constituencies Code,Post-2019 Westminster Parliamentary constituencies,Sex (2 categories) Code,Sex (2 categories),Observation
E14001125,Brentwood and Ongar,2,Male,47706
E14001126,Bridgwater,1,Female,50008
E14001126,Bridgwater,2,Male,49195
E14001127,Bridlington and The Wolds,1,Female,47289
E14001127,Bridlington and The Wolds,2,Male,45311
E14001128,Brigg and Immingham,1,Female,46396
E14001128,Brigg and Immingham,2,Male,44550
E14001129,Brighton Kemptown and Peacehaven,1,Female,48497
E14001129,Brighton Kemptown and Peacehaven,2,Male,46880
E14001130,Brighton Pavilion,1,Female,52517
E14001130,Brighton Pavilion,2,Male,50503
E14001131,Bristol Central,1,Female,46661
E14001131,Bristol Central,2,Male,46983
E14001132,Bristol East,1,Female,55110
E14001132,Bristol East,2,Male,54947
E14001133,Bristol North East,1,Female,49836
E14001133,Bristol North East,2,Male,48914
E14001134,Bristol North West,1,Female,55341
E14001134,Bristol North West,2,Male,53856
E14001135,Bristol South,1,Female,52997
E14001135,Bristol South,2,Male,51099
E14001136,Broadland and Fakenham,1,Female,47822
E14001136,Broadland and Fakenham,2,Male,45502
E14001137,Bromley and Biggin Hill,1,Female,50696
E14001137,Bromley and Biggin Hill,2,Male,46860
E14001138,Bromsgrove,1,Female,50730
E14001138,Bromsgrove,2,Male,48453
E14001139,Broxbourne,1,Female,55943
E14001139,Broxbourne,2,Male,52451
E14001140,Broxtowe,1,Female,48189
E14001140,Broxtowe,2,Male,46357
E14001141,Buckingham and Bletchley,1,Female,54133
E14001141,Buckingham and Bletchley,2,Male,51501
E14001142,Burnley,1,Female,55311
E14001142,Burnley,2,Male,54243
E14001143,Burton and Uttoxeter,1,Female,56104
E14001143,Burton and Uttoxeter,2,Male,56427
E14001144,Bury North,1,Female,52582
E14001144,Bury North,2,Male,50577
E14001145,Bury South,1,Female,54054
E14001145,Bury South,2,Male,52677
E14001146,Bury St Edmunds and Stowmarket,1,Female,51555
E14001146,Bury St Edmunds and Stowmarket,2,Male,50013
E14001147,Calder Valley,1,Female,50932
E14001147,Calder Valley,2,Male,48115
E14001148,Camborne and Redruth,1,Female,50758
E14001148,Camborne and Redruth,2,Male,48337
E14001149,Cambridge,1,Female,61750
E14001149,Cambridge,2,Male,62334
E14001150,Cannock Chase,1,Female,51007
E14001150,Cannock Chase,2,Male,49512
E14001151,Canterbury,1,Female,55819
E14001151,Canterbury,2,Male,51451
E14001152,Carlisle,1,Female,52366
E14001152,Carlisle,2,Male,50296
E14001153,Carshalton and Wallington,1,Female,54331
E14001153,Carshalton and Wallington,2,Male,50683
E14001154,Castle Point,1,Female,47216
E14001154,Castle Point,2,Male,44337
E14001155,Central Devon,1,Female,47886
E14001155,Central Devon,2,Male,45274
E14001156,Central Suffolk and North Ipswich,1,Female,47753
E14001156,Central Suffolk and North Ipswich,2,Male,46411
E14001157,Chatham and Aylesford,1,Female,54098
E14001157,Chatham and Aylesford,2,Male,51756
E14001158,Cheadle,1,Female,49214
E14001158,Cheadle,2,Male,46265
E14001159,Chelmsford,1,Female,54394
E14001159,Chelmsford,2,Male,52815
E14001160,Chelsea and Fulham,1,Female,64131
E14001160,Chelsea and Fulham,2,Male,55389
E14001161,Cheltenham,1,Female,51165
E14001161,Cheltenham,2,Male,49031
E14001162,Chesham and Amersham,1,Female,51108
E14001162,Chesham and Amersham,2,Male,47953
E14001163,Chester North and Neston,1,Female,48262
E14001163,Chester North and Neston,2,Male,45943
E14001164,Chester South and Eddisbury,1,Female,48081
E14001164,Chester South and Eddisbury,2,Male,45754
E14001165,Chesterfield,1,Female,47412
E14001165,Chesterfield,2,Male,45829
E14001166,Chichester,1,Female,54199
E14001166,Chichester,2,Male,49947
E14001167,Chingford and Woodford Green,1,Female,56998
E14001167,Chingford and Woodford Green,2,Male,54007
E14001168,Chippenham,1,Female,49161
E14001168,Chippenham,2,Male,48783
E14001169,Chipping Barnet,1,Female,58233
E14001169,Chipping Barnet,2,Male,54666
E14001170,Chorley,1,Female,51383
E14001170,Chorley,2,Male,49542
E14001171,Christchurch,1,Female,46071
E14001171,Christchurch,2,Male,41997
E14001172,Cities of London and Westminster,1,Female,60768
E14001172,Cities of London and Westminster,2,Male,59213
E14001173,City of Durham,1,Female,51096
E14001173,City of Durham,2,Male,49585
E14001174,Clacton,1,Female,51052
E14001174,Clacton,2,Male,47138
E14001175,Clapham and Brixton Hill,1,Female,54327
E14001175,Clapham and Brixton Hill,2,Male,50661
E14001176,Colchester,1,Female,58211
E14001176,Colchester,2,Male,56114
E14001177,Colne Valley,1,Female,47893
E14001177,Colne Valley,2,Male,45157
E14001178,Congleton,1,Female,45908
E14001178,Congleton,2,Male,43964
E14001179,Corby and East Northamptonshire,1,Female,58992
E14001179,Corby and East Northamptonshire,2,Male,57599
E14001180,Coventry East,1,Female,59879
E14001180,Coventry East,2,Male,58403
E14001181,Coventry North West,1,Female,54070
E14001181,Coventry North West,2,Male,53220
E14001182,Coventry South,1,Female,59188
E14001182,Coventry South,2,Male,60564
E14001183,Cramlington and Killingworth,1,Female,49743
E14001183,Cramlington and Killingworth,2,Male,46814
E14001184,Crawley,1,Female,59492
E14001184,Crawley,2,Male,59001
E14001185,Crewe and Nantwich,1,Female,55089
E14001185,Crewe and Nantwich,2,Male,54415
E14001186,Croydon East,1,Female,57701
E14001186,Croydon East,2,Male,52150
E14001187,Croydon South,1,Female,52014
E14001187,Croydon South,2,Male,49025
E14001188,Croydon West,1,Female,63316
E14001188,Croydon West,2,Male,59187
E14001189,Dagenham and Rainham,1,Female,61470
E14001189,Dagenham and Rainham,2,Male,57734
E14001190,Darlington,1,Female,49779
E14001190,Darlington,2,Male,47570
E14001191,Dartford,1,Female,55539
E14001191,Dartford,2,Male,53302
E14001192,Daventry,1,Female,52915
E14001192,Daventry,2,Male,52466
E14001193,Derby North,1,Female,52067
E14001193,Derby North,2,Male,51168
E14001194,Derby South,1,Female,59334
E14001194,Derby South,2,Male,59183
E14001195,Derbyshire Dales,1,Female,45709
E14001195,Derbyshire Dales,2,Male,43622
E14001196,Dewsbury and Batley,1,Female,52281
