Constituen,gss_code,Leave.preds,Remain.preds,LeavePct,RemainPct
Carshalton and Wallington,E14001153,29407.42377,23523.8378,0.55557761,0.444422391
Castle Point,E14001154,38584.01638,14423.61664,0.727895478,0.272104522
Central Ayrshire,S14000010,19120.77663,25283.8014,0.430603723,0.569396277
Central Devon,E14001155,28905.79381,27729.76088,0.510382462,0.489617539
Central Suffolk and North Ipswich,E14001156,28430.3769,22131.38491,0.562290076,0.437709924
Ceredigion Preseli,W07000093,25109.78897,28110.03478,0.471812704,0.528187296
Chatham and Aylesford,E14001157,34605.43404,18990.95013,0.645667326,0.354332674
Cheadle,E14001158,24085.46721,32431.09321,0.426166544,0.573833457
Chelmsford,E14001159,27648.41538,27765.1891,0.498946344,0.501053656
Chelsea and Fulham,E14001160,15079.85572,37659.91685,0.28592948,0.714070521
Cheltenham,E14001161,23862.30213,32274.68678,0.425072712,0.574927288
Chesham and Amersham,E14001162,26465.73078,32091.36884,0.451964509,0.548035491
Chester North and Neston,E14001163,22917.77568,27866.24279,0.451279288,0.548720712
Chester South and Eddisbury,E14001164,26259.89542,30720.83764,0.460855697,0.539144304
Chesterfield,E14001165,30616.49791,21110.5079,0.591886142,0.408113858
Chichester,E14001166,30903.94197,25565.73037,0.547266182,0.452733818
Chingford and Woodford Green,E14001167,26044.61486,25545.68724,0.504835479,0.495164521
Chippenham,E14001168,28601.98236,23816.81586,0.545643611,0.454356389
Chipping Barnet,E14001169,21729.03187,29671.87251,0.422736373,0.577263627
Chorley,E14001170,30787.99799,23096.04231,0.571375083,0.428624917
Christchurch,E14001171,35175.22956,22783.97897,0.606896306,0.393103694
Cities of London and Westminster,E14001172,15300.68903,36136.77862,0.297461942,0.702538058
City of Durham,E14001173,23205.51559,27470.8678,0.457915779,0.542084221
Clacton,E14001174,39601.06001,15548.19979,0.718070563,0.281929437
Clapham and Brixton Hill,E14001175,8710.698439,43873.90896,0.165651107,0.834348893
Clwyd East,W07000094,29293.45577,27842.26784,0.51269948,0.48730052
Clwyd North,W07000095,30316.41666,22837.03909,0.570356456,0.429643544
Coatbridge and Bellshill,S14000070,16972.23207,25742.37503,0.397340236,0.602659764
Colchester,E14001176,25850.39351,24765.32226,0.510718719,0.489281281
Colne Valley,E14001177,26118.05841,26422.89047,0.4970991,0.5029009
Congleton,E14001178,25042.07414,23331.09842,0.517685172,0.482314828
Corby and East Northamptonshire,E14001179,35534.59604,24296.14246,0.593918727,0.406081273
Coventry East,E14001180,30091.85289,21166.99521,0.587056752,0.412943248
Coventry North West,E14001181,29211.60971,20781.98377,0.584307062,0.415692938
Coventry South,E14001182,25793.5374,26018.02103,0.497833653,0.502166347
Cowdenbeath and Kirkcaldy,S14000071,17834.84208,27753.11067,0.391218315,0.608781685
Cramlington and Killingworth,E14001183,29204.30231,19204.94537,0.603279409,0.396720591
Crawley,E14001184,31447,22388,0.584136714,0.415863286
Crewe and Nantwich,E14001185,32731.03655,21209.98987,0.606792987,0.393207013
Croydon East,E14001186,26720.02281,25928.44507,0.507517576,0.492482424
Croydon South,E14001187,22294.29495,29541.51324,0.43009448,0.56990552
Croydon West,E14001188,19026.77754,23322.98422,0.449277086,0.550722914
Cumbernauld and Kirkintilloch,S14000072,16705.45243,27839.23721,0.3750268,0.6249732
Dagenham and Rainham,E14001189,36129.08185,15155.69639,0.704479635,0.295520365
Darlington,E14001190,28332.25727,21233.17239,0.571613269,0.428386731
Dartford,E14001191,32534.38526,18296.70389,0.64004895,0.35995105
Daventry,E14001192,34062.57953,24535.5825,0.58129092,0.41870908
Derby North,E14001193,27185.89312,21685.60361,0.55627298,0.44372702
Derby South,E14001194,28819.3572,19301.28865,0.598897972,0.401102028
Derbyshire Dales,E14001195,29268.19564,27747.75443,0.513333473,0.486666527
Dewsbury and Batley,E14001196,26350.16234,18960.81012,0.581540429,0.418459572
Didcot and Wantage,E14001197,26437.12695,28847.18094,0.478203092,0.521796908
Doncaster Central,E14001198,34524.75903,18075.84446,0.65635671,0.34364329
Doncaster East and the Isle of Axholme,E14001199,31464.35072,15845.3824,0.665071406,0.334928594
Doncaster North,E14001200,35543.0515,14164.82961,0.715038555,0.284961445
Dorking and Horley,E14001201,27934.71515,26232.86773,0.515709095,0.484290905
Dover and Deal,E14001202,35731.47715,21100.41354,0.628722302,0.371277698
Droitwich and Evesham,E14001203,33891.20413,23455.71753,0.590985587,0.409014414
Dudley,E14001204,37282.39143,14968.74988,0.713523006,0.286476994
Dulwich and West Norwood,E14001205,11300.21466,36718.52644,0.235329257,0.764670743
Dumfries and Galloway,S14000073,24401.38143,30027.3455,0.448318063,0.551681937
"Dumfriesshire, Clydesdale and Tweeddale",S14000074,21915.23344,27442.19677,0.444010828,0.555989172
Dundee Central,S14000075,20316.82825,24251.60603,0.455856899,0.544143101
Dunfermline and Dollar,S14000076,16729.86028,28550.66773,0.369471405,0.630528596
Dunstable and Leighton Buzzard,E14001206,32725.15573,24011.97144,0.576785561,0.423214439
Dwyfor Meirionnydd,W07000096,22707.5026,29481.79939,0.435098799,0.564901201
Ealing Central and Acton,E14001207,17761.24467,38621.06456,0.315014495,0.684985505
Ealing North,E14001208,24921.42243,25722.07572,0.492095202,0.507904798
Ealing Southall,E14001209,19130.21452,29373.98208,0.394403286,0.605596714
Earley and Woodley,E14001210,24135.7395,26020.55021,0.481210625,0.518789375
Easington,E14001211,31812.99493,16236.63637,0.66208614,0.33791386
East Grinstead and Uckfield,E14001212,27259.64689,28386.23255,0.489877187,0.510122813
East Ham,E14001213,15484.86981,19797.61835,0.438882591,0.561117409
East Hampshire,E14001214,25957.73519,28194.61336,0.479346434,0.520653566
East Kilbride and Strathaven,S14000077,18510.27099,30561.64227,0.377207037,0.622792963
East Renfrewshire,S14000021,13596,39345,0.256814189,0.743185811
East Surrey,E14001215,30332.80772,26745.11443,0.53142803,0.46857197
East Thanet,E14001216,33346.46068,19518.65681,0.630783819,0.369216182
East Wiltshire,E14001217,31088.3531,25738.53833,0.547071155,0.452928846
East Worthing and Shoreham,E14001218,30904.69033,26507.9796,0.538290422,0.461709578
Eastbourne,E14001219,30700,22845,0.573349519,0.426650481
Eastleigh,E14001220,27785.0884,25614.97125,0.520319426,0.479680574
Edinburgh East and Musselburgh,S14000078,15870.59527,32166.22928,0.330383938,0.669616062
Edinburgh North and Leith,S14000079,8616.397023,45467.00274,0.159316853,0.840683148
Edinburgh South,S14000080,17494.43026,36656.22485,0.323069596,0.676930404
Edinburgh South West,S14000081,12085.5259,36583.85192,0.24831889,0.75168111
Edinburgh West,S14000082,13585.18659,41559.50647,0.246355285,0.753644715
Edmonton and Winchmore Hill,E14001221,23290.11147,27756.16118,0.456254889,0.543745111
Ellesmere Port and Bromborough,E14001222,28995.20414,17929.08685,0.617914592,0.382085408
Eltham and Chislehurst,E14001223,53057.45628,56981.70289,0.482168863,0.517831137
Ely and East Cambridgeshire,E14001224,28598.66244,29579.29295,0.491572147,0.508427853
Enfield North,E14001225,24748.65409,28073.71752,0.468525993,0.531474007
Epping Forest,E14001226,34928.35511,22062.55092,0.61287594,0.38712406
Epsom and Ewell,E14001227,28611.09808,32592.03765,0.46747765,0.53252235
Erewash,E14001228,34507.24041,20120.85909,0.631675653,0.368324347
Erith and Thamesmead,E14001229,13733.36872,13994.0812,0.495298657,0.504701343
Esher and Walton,E14001230,23444.44046,33977.04865,0.408286877,0.591713123
Exeter,E14001231,22277.15191,27597.93124,0.446658943,0.553341057
