ONSConstID,ConstituencyName,Country,Region,ConstituencyType,Winner24,Second24,Con24,Lab24,LD24,SNP24,PC24,Green24,RUK24,Other24,Majority24,Turnout24,ConVote24,LabVote24,LDVote24,SNPVote24,PCVote24,GreenVote24,RUKVote24,OtherVote24,TotalVote24,RejectedVote24,Electorate24,MPFirstName24,MPSurname24,MPGender24
W07000099,Merthyr Tydfil and Aberdare,Wales,Wales,County,Lab,RUK,7.630271191253728,44.8416867812012,3.623455913673151,0,13.5396847934119,3.495669459037342,23.694448388470825,3.174783472951867,21.14723839273037,47.2938490464679,2687,15791,1276,0,4768,1231,8344,1118,35215,115,74460,Gerald,Jones,Male
W07000100,Mid and South Pembrokeshire,Wales,Wales,County,Lab,Con,31.368890604559397,35.39642711617234,5.086963048746488,0,6.352270046537563,3.5471487700787065,16.787835896116153,1.4604645177893585,4.0275365116129445,58.99940531170523,14627,16505,2372,0,2962,1654,7828,681,46629,147,79033,Henry,Tufnell,Male
E14001359,Mid Bedfordshire,England,East of England,County,Con,Lab,34.0823441687995,31.42016484955966,8.198141915721166,0,0,5.207472642631144,17.319280143487635,3.772596279800891,2.662179319239838,65.76063188305923,16912,15591,4068,0,0,2584,8594,1872,49621,179,75457,Blake,Stephenson,Male
E14001360,Mid Buckinghamshire,England,South East,County,Con,LD,37.34870530666716,16.998758132379383,26.464755055513333,0,0,5.453096328149617,12.837574836425643,0.8971103408648589,10.883950251153825,71.34299542461189,20150,9171,14278,0,0,2942,6926,484,53951,231,75622,Greg,Smith,Male
E14001361,Mid Cheshire,England,North West,County,Lab,Con,22.95887638825315,44.465055771037605,5.93847117492592,0,0,4.738731359464213,19.19342793129201,2.7054373750271026,21.506179382784456,58.975051147988175,9530,18457,2465,0,0,1967,7967,1123,41509,115,70384,Andrew,Cooper,Male
E14001362,Mid Derbyshire,England,East Midlands,County,Lab,Con,32.53475800853964,36.48486633153146,4.966030751109522,0,0,7.460614601518626,17.57566834234272,0.978061964958038,3.950108322991818,67.99919905030251,15468,17346,2361,0,0,3547,8356,465,47543,153,69917,Jonathan,Davies,Male
E14001363,Mid Dorset and North Poole,England,South West,County,LD,Con,40.57438300278709,9.221634285252655,43.30492385991841,0,0,4.75623056105344,0,2.1428282909884073,2.730540857131316,65.76088400138124,20090,4566,21442,0,0,2355,0,1061,49514,798,75294,Vikki,Slade,Female
S14000097,Mid Dunbartonshire,Scotland,Scotland,County,LD,SNP,4.649398915393075,20.84455231521863,42.377412871174485,24.035799613182146,0,3.2614054382039512,3.9800523341802876,0.8513785126474269,18.34161325799234,71.65197070771572,2452,10993,22349,12676,0,1720,2099,449,52738,132,73603,Susan,Murray,Female
E14001364,Mid Leicestershire,England,East Midlands,County,Con,Lab,36.90946930280957,32.32882414151925,5.08636836628512,0,0,7.105098855359001,18.570239334027054,0,4.580645161290323,63.28697118170802,17735,15534,2444,0,0,3414,8923,0,48050,181,75924,Peter,Bedford,Male
E14001365,Mid Norfolk,England,East of England,County,Con,Lab,36.538335838943716,29.884306163801554,6.810902673377345,0,0,6.226986513279735,20.53946881059764,0,6.654029675142166,61.00241899040378,16770,13716,3126,0,0,2858,9427,0,45897,222,75238,George,Freeman,Male
E14001366,Mid Sussex,England,South East,County,LD,Con,27.14146414641464,17.62113711371137,39.63396339633963,0,0,3.840384038403841,11.102985298529854,0.6600660066006601,12.492499249924993,70.1970540615251,14474,9397,21136,0,0,2048,5921,352,53328,145,75969,Alison,Bennett,Female
E14001367,Middlesbrough and Thornaby East,England,North East,Borough,Lab,RUK,17.9440230185718,47.193884965268694,3.0139215857238355,0,0,4.423518470078763,20.478391025082104,6.9462609352747995,26.71549394018659,45.800886546064454,6174,16238,1037,0,0,1522,7046,2390,34407,92,75123,Andy,McDonald,Male
E14001368,Middlesbrough South and East Cleveland,England,North East,County,Lab,Con,42.73432364927041,43.29696332325489,5.342447745497568,0,0,3.8017615354278953,0,4.824503746549231,0.562639673984488,54.07999317512904,16254,16468,2032,0,0,1446,0,1835,38035,529,70331,Luke,Myer,Male
S14000045,Midlothian,Scotland,Scotland,County,Lab,SNP,7.354239782633306,48.63579757726706,5.862108004075625,30.1437790105287,0,0,7.4176384014491115,0.5864372240461905,18.492018566738366,60.04432117899774,3248,21480,2589,13313,0,0,3276,259,44165,162,73554,Kirsty,McNeill,Female
E14001369,Milton Keynes Central,England,South East,Borough,Lab,Con,27.065306207965804,42.34113432085315,10.33124515493725,0,0,6.758993484045339,13.084288378134886,0.4190324540635672,15.275828112887343,58.8680036508054,12918,20209,4931,0,0,3226,6245,200,47729,201,81078,Emily,Darlington,Female
E14001370,Milton Keynes North,England,South East,County,Lab,Con,30.206407551601888,42.016660504165124,7.3188768297192075,0,0,7.05135176283794,13.406703351675839,0,11.81025295256324,65.02284009107751,13888,19318,3365,0,0,3242,6164,0,45977,184,70709,Chris,Curtis,Male
E14001371,Mitcham and Morden,England,London,Borough,Lab,Con,13.974146503148823,55.43033918903989,8.003535520936914,0,0,10.241962214119987,9.13711192133466,3.2129046514197324,41.45619268589106,58.55826712559199,6324,25085,3622,0,0,4635,4135,1454,45255,182,77282,Siobhain,McDonagh,Female
W07000101,Monmouthshire,Wales,Wales,County,Lab,Con,34.75729682951774,41.32247659507513,4.482338132326332,0,2.5037369207772797,4.635748564235701,10.69546062465581,1.6029423334120052,6.565179765557391,67.95236758750652,17672,21010,2279,0,1273,2357,5438,815,50844,154,74823,Catherine,Fookes,Female
W07000102,Montgomeryshire and Glyndwr,Wales,Wales,County,Lab,RUK,17.973138537645344,29.378857578769736,14.956425252548602,0,13.10016412769597,4.031531010887908,20.55988349245244,0,8.818974086317297,58.42731533381056,7775,12709,6470,0,5667,1744,8894,0,43259,193,74039,Steve,Witherden,Male
S14000098,"Moray West, Nairn and Strathspey",Scotland,Scotland,County,SNP,Con,29.986682132577226,17.740688233019718,8.130343257292607,32.13687330841603,0,3.6001202904154317,7.496670533144306,0.9086222451346823,2.1501911758388106,60.2695389873516,13960,8259,3785,14961,0,1676,3490,423,46554,167,77243,Graham,Leadbitter,Male
