pano,ONSConstID,ConstituencyName,Region,ConstituencyType,IndexOfChange,Winner19,Second19,Con19,Lab19,LD19,SNP19,PC19,Green19,Brexit19,Other19,Majority19,Turnout19,ConVote19,LabVote19,LDVote19,SNPVote19,PCVote19,GreenVote19,BrexitVote19,OtherVote19,TotalVote19,Electorate19
565,E14001215,East Surrey,South East,County,31.3,Con,LD,60.35,13.19,20.39,0,0,2.98,0,3.09,39.95,70.4,31063,6787,10498,0,0,1534,0,1593,51475,73145
566,E14001532,Surrey Heath,South East,County,24.2,Con,LD,57.86,9.38,28.02,0,0,3.54,0,1.2,29.83,73.6,30161,4888,14609,0,0,1845,0,628,52131,70825
567,E14001366,Mid Sussex,South East,County,45.4,Con,LD,51.28,18,25.48,0,0,4.12,0,1.13,25.81,73.3,27154,9530,13489,0,0,2179,0,597,52949,72255
568,E14001533,Sussex Weald,South East,County,43.3,Con,LD,63.71,14.87,16.84,0,0,4.58,0,0,46.87,70.5,31486,7349,8322,0,0,2261,0,0,49418,70075
569,E14001534,Sutton and Cheam,London,Borough,none,Con,LD,49.98,14.26,33.44,0,0,2.31,0,0,16.54,70.8,25235,7200,16884,0,0,1168,0,0,50487,71284
570,E14001535,Sutton Coldfield,West Midlands,Borough,none,Con,Lab,60.4,23.57,12.15,0,0,3.88,0,0,36.83,70.2,31604,12332,6358,0,0,2031,0,0,52325,74584
571,W07000108,Swansea West,Wales,County,97.1,Lab,Con,28.67,51.38,6.41,0,5.87,0.83,6.84,0,22.71,59.2,12672,22709,2834,0,2595,367,3022,0,44199,74612
572,E14001536,Swindon North,South West,County,12.6,Con,Lab,58.5,30.54,7.9,0,0,3.06,0,0,27.96,65.7,27719,14469,3744,0,0,1449,0,0,47381,72163
573,E14001537,Swindon South,South West,Borough,29.2,Con,Lab,51.62,40.21,7.65,0,0,0.53,0,0,11.41,68.3,25564,19914,3788,0,0,261,0,0,49527,72468
574,E14001538,Tamworth,West Midlands,Borough,3.8,Con,Lab,66.72,23.3,5.32,0,0,2.05,0,2.62,43.42,64.6,31748,11085,2530,0,0,976,0,1245,47584,73644
575,E14001539,Tatton,North West,County,21.2,Con,Lab,57.28,22.48,16.19,0,0,3.69,0.36,0,34.81,73.3,31732,12451,8966,0,0,2046,199,0,55394,75538
576,E14001540,Taunton and Wellington,South West,County,12.9,Con,LD,51.98,7.9,36.3,0,0,0,0,3.82,15.68,71.6,28298,4299,19762,0,0,0,0,2081,54440,76049
577,E14001541,Telford,West Midlands,Borough,2.1,Con,Lab,59.37,34.33,6.24,0,0,0.06,0,0,25.04,61.5,25842,14942,2714,0,0,27,0,0,43525,70768
